rule	severity	type	file	line	message
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/list-app-model-snapshot-fields.tool.ts	154	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/lookup-model.tool.ts	276	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/mcp-config.tool.ts	87	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/mcp-config.tool.ts	108	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-list-app.tool.ts	66	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-list-app.tool.ts	79	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-list-app/extract.ts	91	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-lookup.tool.ts	63	Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-lookup.tool.ts	82	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-lookup.tool.ts	103	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-lookup/extract-actions.ts	73	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-lookup/extract.ts	128	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-validate-app.tool.ts	69	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-validate-app.tool.ts	83	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-validate-app/extract-declarations.ts	109	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-validate-app/extract-handlers.ts	53	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-api-validate-app/source-roots.ts	124	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-decode.tool.ts	312	Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-forward.tool.ts	48	Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-forward.tool.ts	61	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-list-app.tool.ts	48	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-list-app.tool.ts	61	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-lookup.tool.ts	52	Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-lookup.tool.ts	68	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-scaffold.tool.ts	95	Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-scaffold.tool.ts	108	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-scaffold.tool.ts	135	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-scaffold.tool.ts	202	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-validate-app.tool.ts	87	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-fixture-validate-app.tool.ts	100	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-hierarchy.tool.ts	190	Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-hierarchy.tool.ts	212	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-list-component.tool.ts	54	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-list-component.tool.ts	68	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-test-search.tool.ts	64	Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-test-search.tool.ts	92	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-test-tree.tool.ts	63	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/model-test-tree.tool.ts	77	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/route/load-sources.ts	158	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/search-model.tool.ts	267	Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/search-model.tool.ts	290	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/server-actions-list-app.tool.ts	56	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/server-actions-list-app.tool.ts	69	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/server-actions-list-app/extract.ts	92	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/system-m-list-app.tool.ts	52	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/system-m-list-app.tool.ts	65	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/ui-examples.tool.ts	244	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/validate-app-model-firebase-index.tool.ts	173	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/validate-app-model-firebase-index.tool.ts	189	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/validate-app-model-firebase-index.tool.ts	470	Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/validate-tool.ts	68	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/validate-tool.ts	109	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/validate-tool.ts	292	Unexpected negated condition.
typescript:S7745	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/build-many.ts	164	The non-empty check is useless as `Array#some()` returns `false` for an empty array.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-single-return.rule.ts	65	Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.
typescript:S4325	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/build-many.ts	184	This assertion is unnecessary since it does not change the type of the expression.
typescript:S7780	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/build-many.ts	191	`String.raw` should be used to avoid escaping `\`.
typescript:S7778	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/format.ts	38	Do not call `Array#push()` multiple times.
typescript:S7778	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/format.ts	39	Do not call `Array#push()` multiple times.
typescript:S7778	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/format.ts	48	Do not call `Array#push()` multiple times.
typescript:S7778	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/format.ts	53	Do not call `Array#push()` multiple times.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/lint-cache/src/query.ts	31	Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/query.ts	60	Unexpected negated condition.
typescript:S4325	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/query.ts	73	This assertion is unnecessary since it does not change the type of the expression.
typescript:S7780	MINOR	CODE_SMELL	packages/dbx-cli/lint-cache/src/query.ts	84	`String.raw` should be used to avoid escaping `\`.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/prefer-canonical-jsdoc.rule.ts	914	Refactor this function to reduce its Cognitive Complexity from 45 to the 15 allowed.
typescript:S7780	MINOR	CODE_SMELL	packages/util/eslint/src/lib/require-single-return.rule.spec.ts	112	`String.raw` should be used to avoid escaping `\`.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-deprecated-alias-placement.rule.ts	282	Refactor this function to reduce its Cognitive Complexity from 39 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/registry/downstream-models-runtime.ts	177	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-form/src/lib/formly/field/value/date/datetime.field.component.ts	693	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-form/src/lib/formly/field/value/date/datetime.field.component.ts	760	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-web/eslint/src/lib/no-redundant-on-destroy.rule.ts	220	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.
typescript:S1751	MAJOR	BUG	packages/util/eslint/src/lib/require-deprecated-alias-placement.rule.ts	148	Invalid loop. Its body allows only one iteration.
typescript:S7735	MINOR	CODE_SMELL	packages/util/eslint/src/lib/require-deprecated-alias-placement.rule.ts	173	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/util/eslint/src/lib/require-deprecated-alias-placement.rule.ts	350	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/util/eslint/src/lib/require-deprecated-alias-placement.rule.ts	366	Unexpected negated condition.
typescript:S2871	CRITICAL	BUG	packages/dbx-components-mcp/src/scan/model-firebase-index-reference-scan.spec.ts	204	Provide a compare function that depends on "String.localeCompare", to reliably sort elements alphabetically.
typescript:S2871	CRITICAL	BUG	packages/dbx-components-mcp/src/scan/model-firebase-index-reference-scan.spec.ts	197	Provide a compare function that depends on "String.localeCompare", to reliably sort elements alphabetically.
typescript:S2871	CRITICAL	BUG	packages/dbx-components-mcp/src/scan/model-firebase-index-reference-scan.spec.ts	85	Provide a compare function that depends on "String.localeCompare", to reliably sort elements alphabetically.
typescript:S7780	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/scan/model-firebase-index-reference-scan.ts	244	`String.raw` should be used to avoid escaping `\`.
typescript:S7758	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/scan/model-firebase-index-reference-scan.ts	254	Prefer `String#codePointAt()` over `String#charCodeAt()`.
typescript:S4325	MINOR	CODE_SMELL	packages/firebase/src/lib/common/firestore/snapshot/snapshot.field.ts	482	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S1871	MAJOR	CODE_SMELL	packages/util/eslint/src/lib/prefer-maybe-type.rule.ts	85	This branch's code block is the same as the block for the branch on line 83.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/prefer-maybe-type.rule.ts	144	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-form-field-companion-tags.rule.ts	125	Refactor this function to reduce its Cognitive Complexity from 68 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-model-companion-tags.rule.ts	112	Refactor this function to reduce its Cognitive Complexity from 66 to the 15 allowed.
typescript:S4325	MINOR	CODE_SMELL	packages/util/src/lib/model/model.ts	321	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/prefer-canonical-jsdoc.rule.ts	390	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/prefer-canonical-jsdoc.rule.ts	630	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
typescript:S7721	MAJOR	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-action-companion-tags.rule.ts	83	Move function 'collectFamilyTags' to the outer scope.
typescript:S7721	MAJOR	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-form-field-companion-tags.rule.ts	114	Move function 'determineTier' to the outer scope.
typescript:S7735	MINOR	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-form-field-companion-tags.rule.ts	122	Unexpected negated condition.
typescript:S3358	MAJOR	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-form-field-companion-tags.rule.ts	122	Extract this nested ternary operation into an independent statement.
typescript:S6571	MINOR	CODE_SMELL	packages/util/fetch/src/lib/json.ts	47	'never' is overridden by other types in this union type.
typescript:S4325	MINOR	CODE_SMELL	packages/util/src/lib/date/date.unix.ts	75	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S4325	MINOR	CODE_SMELL	packages/util/src/lib/date/date.unix.ts	113	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S7735	MINOR	CODE_SMELL	apps/demo/src/app/modules/doc/modules/extension/container/quiz.component.ts	26	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	apps/demo/src/app/modules/doc/modules/form/component/component.example.forge.form.component.ts	21	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/date/src/lib/date/date.cell.index.ts	69	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/date/src/lib/date/date.cell.index.ts	153	Unexpected negated condition.
typescript:S4325	MINOR	CODE_SMELL	packages/date/src/lib/date/date.cell.schedule.spec.ts	910	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S4325	MINOR	CODE_SMELL	packages/date/src/lib/date/date.cell.schedule.spec.ts	953	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S4325	MINOR	CODE_SMELL	packages/date/src/lib/date/date.cell.schedule.spec.ts	957	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/firebase-api-manifest/src/generate-api-manifest/assemble-models.ts	122	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/firebase-api-manifest/src/generate-api-manifest/assemble-models.ts	237	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/firebase-api-manifest/src/generate-api-manifest/bind-validators.ts	59	Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-cli/firebase-api-manifest/src/generate-api-manifest/main.ts	213	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/manifest-extract/src/lib/extract-crud.ts	165	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/manifest-extract/src/lib/extract-crud.ts	298	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/manifest-extract/src/lib/extract-models.ts	297	Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-cli/src/lib/api/expand-keys.ts	53	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-cli/src/lib/api/expand-keys.ts	81	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-cli/src/lib/config/cli.config.ts	140	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/src/lib/manifest/build-manifest-commands.ts	538	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/src/lib/manifest/build-manifest-commands.ts	565	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-cli/src/lib/manifest/build-manifest-commands.ts	599	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/manifest/load-css-utilities-registry.ts	126	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/manifest/load-tokens-registry.ts	128	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/manifest/loader.ts	124	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/manifest/manifest-loader-base.ts	139	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/registry/css-utilities-runtime.ts	289	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/registry/downstream-models-runtime.ts	168	Unexpected negated condition.
typescript:S6551	MINOR	CODE_SMELL	packages/dbx-core/src/lib/injection/injection.context.directive.ts	156	'error' will use Object's default stringification format ('[object Object]') when stringified.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-firebase/oidc/src/lib/interaction/containers/oauth.consent.component.ts	127	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-firebase/oidc/src/lib/interaction/containers/oauth.login.component.ts	62	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-firebase/oidc/src/lib/modules/oidcmodel/component/oidcentry.client.forge.form.component.ts	44	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-firebase/src/lib/auth/login/login.email.forge.form.component.ts	39	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-firebase/src/lib/development/development.popup.content.forge.form.component.ts	38	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-form/calendar/src/lib/calendar.schedule.selection.store.ts	908	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-web/eslint/src/lib/no-redundant-on-destroy.rule.ts	98	Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.
typescript:S4325	MINOR	CODE_SMELL	packages/dbx-web/src/lib/interaction/detach/detach.service.ts	153	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S3776	CRITICAL	CODE_SMELL	packages/firebase-server/src/lib/nest/model/api.details.ts	450	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
typescript:S4325	MINOR	CODE_SMELL	packages/nestjs/discord/src/lib/discord.api.page.ts	139	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S7735	MINOR	CODE_SMELL	packages/rxjs/src/lib/iterator/iterator.page.ts	529	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/trello/src/lib/trello.api.page.ts	90	Unexpected negated condition.
typescript:S6564	MAJOR	CODE_SMELL	packages/trello/src/lib/trello/trello.api.board.type.ts	37	Remove this redundant type alias and replace its occurrences with "string".
typescript:S6564	MAJOR	CODE_SMELL	packages/trello/src/lib/trello/trello.api.card.ts	100	Remove this redundant type alias and replace its occurrences with "string".
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-action-companion-tags.rule.ts	96	Refactor this function to reduce its Cognitive Complexity from 40 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-rule-companion-tags.rule.ts	81	Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-dbx-util-companion-tags.rule.ts	130	Refactor this function to reduce its Cognitive Complexity from 43 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-no-side-effects.rule.ts	143	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/util/eslint/src/lib/require-readonly-config-params.rule.ts	138	Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/util/src/lib/cache/cache.memoize.ts	42	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/util/src/lib/cache/cache.memoize.ts	130	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/util/src/lib/map/map.key.ts	212	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/util/src/lib/object/object.equal.ts	91	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/util/src/lib/object/object.equal.ts	108	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/util/src/lib/promise/promise.limit.ts	152	Unexpected negated condition.
typescript:S6571	MINOR	CODE_SMELL	packages/util/src/lib/promise/promise.ts	225	'unknown' overrides all other types in this union type.
typescript:S4144	MAJOR	CODE_SMELL	packages/util/src/lib/relation/relation.spec.ts	370	Update this function so that its implementation is not identical to the one on line 312.
typescript:S3776	CRITICAL	CODE_SMELL	packages/zoho/cli/src/lib/commands/auth.command.ts	329	Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.
typescript:S4325	MINOR	CODE_SMELL	packages/zoho/cli/src/lib/util/pagination.spec.ts	7	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S4325	MINOR	CODE_SMELL	packages/zoho/cli/src/lib/util/pagination.spec.ts	13	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S4325	MINOR	CODE_SMELL	packages/zoho/cli/src/lib/util/pagination.spec.ts	19	This assertion is unnecessary since the receiver accepts the original type of the expression.
typescript:S4325	MINOR	CODE_SMELL	packages/zoho/cli/src/lib/util/pagination.spec.ts	27	This assertion is unnecessary since the receiver accepts the original type of the expression.
